StudyInstanceUID,Slice,ImageHeight,ImageWidth,SliceThickness,ImagePositionPatient_x,ImagePositionPatient_y,ImagePositionPatient_z,C1,C2,C3,C4,C5,C6,C7,SliceRatio
1.2.826.0.1.3680043.10633,1,512,512,1.0,-68.0,98.0,314.099976,0,0,0,0,0,0,0,0.002331002331002331
1.2.826.0.1.3680043.10633,2,512,512,1.0,-68.0,98.0,313.599976,0,0,0,0,0,0,0,0.004662004662004662
1.2.826.0.1.3680043.10633,3,512,512,1.0,-68.0,98.0,313.099976,0,0,0,0,0,0,0,0.006993006993006993
1.2.826.0.1.3680043.10633,4,512,512,1.0,-68.0,98.0,312.599976,0,0,0,0,0,0,0,0.009324009324009324
1.2.826.0.1.3680043.10633,5,512,512,1.0,-68.0,98.0,312.099976,0,0,0,0,0,0,0,0.011655011655011656
1.2.826.0.1.3680043.10633,6,512,512,1.0,-68.0,98.0,311.599976,0,0,0,0,0,0,0,0.013986013986013986
1.2.826.0.1.3680043.10633,7,512,512,1.0,-68.0,98.0,311.099976,0,0,0,0,0,0,0,0.016317016317016316
1.2.826.0.1.3680043.10633,8,512,512,1.0,-68.0,98.0,310.599976,0,0,0,0,0,0,0,0.018648018648018648
1.2.826.0.1.3680043.10633,9,512,512,1.0,-68.0,98.0,310.099976,0,0,0,0,0,0,0,0.02097902097902098
1.2.826.0.1.3680043.10633,10,512,512,1.0,-68.0,98.0,309.599976,0,0,0,0,0,0,0,0.023310023310023312
1.2.826.0.1.3680043.10633,11,512,512,1.0,-68.0,98.0,309.099976,0,0,0,0,0,0,0,0.02564102564102564
1.2.826.0.1.3680043.10633,12,512,512,1.0,-68.0,98.0,308.599976,0,0,0,0,0,0,0,0.027972027972027972
1.2.826.0.1.3680043.10633,13,512,512,1.0,-68.0,98.0,308.099976,0,0,0,0,0,0,0,0.030303030303030304
1.2.826.0.1.3680043.10633,14,512,512,1.0,-68.0,98.0,307.599976,0,0,0,0,0,0,0,0.03263403263403263
1.2.826.0.1.3680043.10633,15,512,512,1.0,-68.0,98.0,307.099976,0,0,0,0,0,0,0,0.03496503496503497
1.2.826.0.1.3680043.10633,16,512,512,1.0,-68.0,98.0,306.599976,0,0,0,0,0,0,0,0.037296037296037296
1.2.826.0.1.3680043.10633,17,512,512,1.0,-68.0,98.0,306.099976,0,0,0,0,0,0,0,0.039627039627039624
1.2.826.0.1.3680043.10633,18,512,512,1.0,-68.0,98.0,305.599976,0,0,0,0,0,0,0,0.04195804195804196
1.2.826.0.1.3680043.10633,19,512,512,1.0,-68.0,98.0,305.099976,0,0,0,0,0,0,0,0.04428904428904429
1.2.826.0.1.3680043.10633,20,512,512,1.0,-68.0,98.0,304.599976,0,0,0,0,0,0,0,0.046620046620046623
1.2.826.0.1.3680043.10633,21,512,512,1.0,-68.0,98.0,304.099976,0,0,0,0,0,0,0,0.04895104895104895
1.2.826.0.1.3680043.10633,22,512,512,1.0,-68.0,98.0,303.599976,0,0,0,0,0,0,0,0.05128205128205128
1.2.826.0.1.3680043.10633,23,512,512,1.0,-68.0,98.0,303.099976,0,0,0,0,0,0,0,0.053613053613053616
1.2.826.0.1.3680043.10633,24,512,512,1.0,-68.0,98.0,302.599976,0,0,0,0,0,0,0,0.055944055944055944
1.2.826.0.1.3680043.10633,25,512,512,1.0,-68.0,98.0,302.099976,0,0,0,0,0,0,0,0.05827505827505827
1.2.826.0.1.3680043.10633,26,512,512,1.0,-68.0,98.0,301.599976,0,0,0,0,0,0,0,0.06060606060606061
1.2.826.0.1.3680043.10633,27,512,512,1.0,-68.0,98.0,301.099976,0,0,0,0,0,0,0,0.06293706293706294
1.2.826.0.1.3680043.10633,28,512,512,1.0,-68.0,98.0,300.599976,0,0,0,0,0,0,0,0.06526806526806526
1.2.826.0.1.3680043.10633,29,512,512,1.0,-68.0,98.0,300.099976,0,0,0,0,0,0,0,0.0675990675990676
1.2.826.0.1.3680043.10633,30,512,512,1.0,-68.0,98.0,299.599976,0,0,0,0,0,0,0,0.06993006993006994
1.2.826.0.1.3680043.10633,31,512,512,1.0,-68.0,98.0,299.099976,0,0,0,0,0,0,0,0.07226107226107226
1.2.826.0.1.3680043.10633,32,512,512,1.0,-68.0,98.0,298.599976,0,0,0,0,0,0,0,0.07459207459207459
1.2.826.0.1.3680043.10633,33,512,512,1.0,-68.0,98.0,298.099976,0,0,0,0,0,0,0,0.07692307692307693
1.2.826.0.1.3680043.10633,34,512,512,1.0,-68.0,98.0,297.599976,0,0,0,0,0,0,0,0.07925407925407925
1.2.826.0.1.3680043.10633,35,512,512,1.0,-68.0,98.0,297.099976,0,0,0,0,0,0,0,0.08158508158508158
1.2.826.0.1.3680043.10633,36,512,512,1.0,-68.0,98.0,296.599976,0,0,0,0,0,0,0,0.08391608391608392
1.2.826.0.1.3680043.10633,37,512,512,1.0,-68.0,98.0,296.099976,0,0,0,0,0,0,0,0.08624708624708624
1.2.826.0.1.3680043.10633,38,512,512,1.0,-68.0,98.0,295.599976,0,0,0,0,0,0,0,0.08857808857808858
1.2.826.0.1.3680043.10633,39,512,512,1.0,-68.0,98.0,295.099976,0,0,0,0,0,0,0,0.09090909090909091
1.2.826.0.1.3680043.10633,40,512,512,1.0,-68.0,98.0,294.599976,0,0,0,0,0,0,0,0.09324009324009325
